Food ID	Food name	Energy (kJ)	Protein (g)	Fat, total (g)	Fat, saturated (g)	Available carbohydrate (g)	Total sugars (g)	Sodium (mg)
01A10053	Beer, lager	154	0.3	0	0	2	0.1	7
01A10056	Beer, reduced alcohol or light beer	106	0.3	0	0	2.3	0.1	6
01A10062	Beer, alcohol free	34	0.2	0	0	1.8	0.7	6
01A10064	Beer, ale	150	0.4	0	0	1.4	0	10
01A10065	Beer, bitter	155	0.3	0	0	2.2	0.3	9
01A10066	Beer, home-brewed	154	0.5	0	0	2	0.2	8
01A10068	Beer, carbohydrate-modified	122	0.2	0	0	0.9	0	7
01A10069	Beer, stout	225	0.6	0	0	3	0.1	12
01A10071	Beer, reduced alcohol or light beer, home-brewed	109	0.5	0	0	2.2	0.1	6
01A10072	Beer, low alcohol (less than 1% alcohol v/v)	43	0.2	0	0	1.1	0	6
01A10073	Beer, draught	132	0.3	0	0	1.9	0.2	7
01A20023	Wine, fortified, dry	517	0.2	0	0	4.1	4.1	9
01A20025	Wine, green ginger	364	0.2	0	0	2.6	2.6	26
01A20072	Wine, red	195	0.4	0	0	0	0	11
01A20073	Wine, rose	286	0.2	0	0	1.8	1.8	23
01A20075	Wine, red, cooked	98	0.2	0	0	0	0	11
01A20076	Wine, white, dry (sugars content less than 1%)	195	0.3	0	0	0.5	0.5	24
01A20077	Wine, white, medium dry (sugars content approximately 1%)	195	0.2	0	0	1.3	1.3	24
01A20078	Wine, white, medium sweet (sugars content approximately 2.5%)	278	0.2	0	0	2.6	2.6	26
01A20081	Wine, white, cooked	109	0.2	0	0	1.2	1.2	24
01A20086	Sherry (fortified wine), dry (sugars content approximately 1%)	437	0.1	0	0	1.2	1.2	19
01A20087	Sherry (fortified wine), sweet (sugars content approximately 11%)	589	0.2	0	0	11.1	11.1	18
01A20088	Port (fortified wine)	613	0.2	0	0	12.4	12.4	15
01A20092	Wine, red, sparkling	331	0.2	0	0	2	2	10
01A20097	Wine, white, sparkling	275	0.2	0	0	1	1	10
01A20102	Wine, white, reduced alcohol	171	0.2	0	0	1.1	1.1	24
01A20103	Wine, red, reduced alcohol	153	0.2	0	0	0	0	11
01A20104	Wine, white, sparkling, de-alcoholised	26	0.2	0	0	1	1	10
01A20105	Wine & fruit juice blend (wine cooler), all flavours	224	0.1	0	0	7.6	7.6	19
01A20106	Wine, white, sweet dessert	430	0.2	0	0	10	10	26
01A30021	Liqueur, clear, coffee flavour	1438	0.1	0.3	0.1	46.8	39	8
01A30024	Liqueur, less than 30% v/v alcohol	1116	0.1	0.3	0	34	34	11
01A30025	Liqueur, greater than 30% v/v alcohol	1586	0.1	0.3	0	41	41	5
01A30047	Cider, white (greater than 6% v/v alcohol)	243	0	0	0	3.1	3.1	15
01A30048	Beverage, alcoholic, bitters	898	0	0	0	0.3	0.3	2
01A30109	Brandy	898	0	0	0	0.3	0.3	2
01A30110	Whisky	892	0	0	0	0	0	1
01A30113	Rum, dark & light coloured	887	0	0	0	0	0	2
01A30114	Vodka	886	0	0	0	0.1	0.1	10
01A30115	Liqueur, cream-based, coffee flavour	1384	2.8	15.7	10.3	20.9	20.8	92
01A30120	Alcoholic soda, vodka & lemonade based	188	0	0	0	8.4	8.4	16
01A30121	Alcoholic soda, bourbon & cola based	185	0	0	0	8.4	8.4	11
01A30122	Alcoholic soda, rum & cola based	185	0	0	0	8.4	8.4	11
01A30126	Saki, rice wine	376	0.5	0	0	0.1	0.1	2
01A30129	Gin	899	0	0	0	0	0	1
01A30130	Ouzo	886	0	0	0	0.1	0.1	10
01A30133	Liqueur, advocaat	1040	4.2	5.8	2.7	24.4	24.4	90
01A30135	Liqueur, cream-based, non-coffee flavours	1401	2.9	16.2	10	21.5	21.4	5
01A30136	Cider, apple, alcoholic, draught	191	0	0	0	4.4	4.4	18
01A30137	Cider, apple, alcoholic, dry	165	0	0	0	3.1	3.1	15
